#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516717010.16 0 0.000 0.000 78500 0 5 0 0.398 0 0.000 7.368 37699584.000 341483520.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717010.27 0 0.000 0.000 78500 0 5 1 0.500 0 10.000 7.373 37875712.000 341483520.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717010.37 0 0.000 0.000 78500 0 5 0 0.500 0 20.000 7.373 37875712.000 341483520.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717010.47 0 0.000 0.000 78500 0 5 1 0.602 0 0.000 7.383 37875712.000 341483520.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717010.57 0 0.000 0.000 78500 0 5 0 0.602 0 0.000 7.384 37933056.000 341483520.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717010.68 0 0.000 0.000 78500 0 5 1 0.703 0 0.000 7.384 37933056.000 341483520.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717010.78 0 0.000 0.000 78500 0 5 0 0.703 0 0.000 7.392 37933056.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717010.88 0 0.000 0.000 78500 0 5 1 0.804 0 0.000 7.392 37974016.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717010.98 0 0.000 0.000 78500 0 5 0 0.804 0 9.091 7.392 37974016.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.08 0 0.000 0.000 78500 0 5 1 0.906 0 0.000 7.392 37974016.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.19 0 0.000 0.000 78500 0 5 0 0.906 0 0.000 7.397 37974016.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.29 0 0.000 0.000 78500 0 5 1 1.007 0 0.000 7.397 37998592.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.39 0 0.000 0.000 78500 0 5 0 1.007 0 10.000 7.397 37998592.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.49 0 0.000 0.000 78500 0 5 1 1.109 0 0.000 7.405 37998592.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.59 0 0.000 0.000 78500 0 5 0 1.109 0 10.000 7.405 38039552.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.70 0 0.000 0.000 78500 0 5 1 1.210 0 0.000 7.405 38039552.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.80 0 0.000 0.000 78500 0 5 0 1.210 0 0.000 7.405 38039552.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717011.90 0 0.000 0.000 78500 0 5 1 1.311 0 0.000 7.409 38039552.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
1516717012.00 0 0.000 0.000 78500 0 5 0 1.311 0 20.000 7.409 38060032.000 341630976.000 1516717010.062 -1.000 78500 116000 216000 316000 616000 1216000
